Gene,SNAP-a
LAMTOR5-AS1,0.000226288
AC145422.1,0.000226135
CIRBP,0.000225906
FAM172A,0.000225504
PTPRM,0.000225346
LINC00923,0.000225189
ME1,0.000225064
CASP3,0.000224838
CYP4A22-AS1,0.000224109
PGM1,0.000223955
AC097518.1,0.000223803
RFTN2,0.000223716
GPR37L1,0.000223654
AC093890.1,0.000223559
MIR3681HG,0.000222472
YLPM1,0.00022238
PTDSS1,0.000222352
ERMP1,0.000222312
KCNJ14,0.000222231
WIPF2,0.000222095
AL139246.6,0.000222022
SUGP2,0.0002219
AC009061.2,0.000221758
LIPE-AS1,0.000221695
ADGRL1,0.000221617
INTS6L,0.000221483
SLC9C2,0.00022135
AL445209.1,0.000221135
ENOSF1,0.000221098
MON2,0.000220989
C10orf76,0.000220933
TTL,0.000220677
ADRA1B,0.00022057
TCF7L1,0.000220294
